Designator,Mid X,Mid Y,Layer,Rotation
LED1, 1.25, 1.25,Top,0.0
LED2, 3.75, 1.25,Top,0.0
LED3, 6.25, 1.25,Top,0.0
LED4, 8.75, 1.25,Top,0.0
LED5,11.25, 1.25,Top,0.0
LED6,13.75, 1.25,Top,0.0
LED7,16.25, 1.25,Top,0.0
LED8,18.75, 1.25,Top,0.0
LED9,21.25, 1.25,Top,0.0
LED10,23.75, 1.25,Top,0.0
LED11,26.25, 1.25,Top,0.0
LED12,28.75, 1.25,Top,0.0
LED13,31.25, 1.25,Top,0.0
LED14,33.75, 1.25,Top,0.0
LED15,36.25, 1.25,Top,0.0
LED16,38.75, 1.25,Top,0.0
LED17, 1.25, 3.75,Top,0.0
LED18, 3.75, 3.75,Top,0.0
LED19, 6.25, 3.75,Top,0.0
LED20, 8.75, 3.75,Top,0.0
LED21,11.25, 3.75,Top,0.0
LED22,13.75, 3.75,Top,0.0
LED23,16.25, 3.75,Top,0.0
LED24,18.75, 3.75,Top,0.0
LED25,21.25, 3.75,Top,0.0
LED26,23.75, 3.75,Top,0.0
LED27,26.25, 3.75,Top,0.0
LED28,28.75, 3.75,Top,0.0
LED29,31.25, 3.75,Top,0.0
LED30,33.75, 3.75,Top,0.0
LED31,36.25, 3.75,Top,0.0
LED32,38.75, 3.75,Top,0.0
LED33, 1.25, 6.25,Top,0.0
LED34, 3.75, 6.25,Top,0.0
LED35, 6.25, 6.25,Top,0.0
LED36, 8.75, 6.25,Top,0.0
LED37,11.25, 6.25,Top,0.0
LED38,13.75, 6.25,Top,0.0
LED39,16.25, 6.25,Top,0.0
LED40,18.75, 6.25,Top,0.0
LED41,21.25, 6.25,Top,0.0
LED42,23.75, 6.25,Top,0.0
LED43,26.25, 6.25,Top,0.0
LED44,28.75, 6.25,Top,0.0
LED45,31.25, 6.25,Top,0.0
LED46,33.75, 6.25,Top,0.0
LED47,36.25, 6.25,Top,0.0
LED48,38.75, 6.25,Top,0.0
LED49, 1.25, 8.75,Top,0.0
LED50, 3.75, 8.75,Top,0.0
LED51, 6.25, 8.75,Top,0.0
LED52, 8.75, 8.75,Top,0.0
LED53,11.25, 8.75,Top,0.0
LED54,13.75, 8.75,Top,0.0
LED55,16.25, 8.75,Top,0.0
LED56,18.75, 8.75,Top,0.0
LED57,21.25, 8.75,Top,0.0
LED58,23.75, 8.75,Top,0.0
LED59,26.25, 8.75,Top,0.0
LED60,28.75, 8.75,Top,0.0
LED61,31.25, 8.75,Top,0.0
LED62,33.75, 8.75,Top,0.0
LED63,36.25, 8.75,Top,0.0
LED64,38.75, 8.75,Top,0.0
LED65, 1.25,11.25,Top,0.0
